grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;structure_display;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related;meaning_hint;jp_hint
だ;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A0;;;;;;;;;;;;;;
です;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A7%E3%81%99;;;;;;;;;;;;;;
は;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%AF;;;;;;;;;;;;;;
も;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%82%82;;;;;;;;;;;;;;
これ;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%93%E3%82%8C;;;;;;;;;;;;;;
それ;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%9D%E3%82%8C;;;;;;;;;;;;;;
あれ;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%82%E3%82%8C;;;;;;;;;;;;;;
の;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%AE;;;;;;;;;;;;;;
いい;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%84%E3%81%84;;;;;;;;;;;;;;
い-Adjectives;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%84-adjectives;;;;;;;;;;;;;;
な-Adjectives;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%AA-adjectives;;;;;;;;;;;;;;
か;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%8B;;;;;;;;;;;;;;
が;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%8C;;;;;;;;;;;;;;
よ;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%82%88;;;;;;;;;;;;;;
ね;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%AD;;;;;;;;;;;;;;
る-Verb (Dictionary);;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%82%8B-Verbs;;;;;;;;;;;;;;
う-Verb (Dictionary);;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%86-Verbs;;;;;;;;;;;;;;
を;;N5;1;;https://bunpro.jp/grammar_points//grammar_points/%E3%82%92;;;;;;;;;;;;;;
る-Verb (Negative);;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84;;;;;;;;;;;;;;
う-Verb (Negative);;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84;;;;;;;;;;;;;;
と;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A8-and;;;;;;;;;;;;;;
ここ;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%93%E3%81%93;;;;;;;;;;;;;;
そこ;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%9D%E3%81%93;;;;;;;;;;;;;;
あそこ;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%82%E3%81%9D%E3%81%93;;;;;;;;;;;;;;
で;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A7;;;;;;;;;;;;;;
に;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%AB;;;;;;;;;;;;;;
か;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%8B-or;;;;;;;;;;;;;;
と;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A8-with;;;;;;;;;;;;;;
でしょう;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86;;;;;;;;;;;;;;
だろう;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%A0%E3%82%8D%E3%81%86;;;;;;;;;;;;;;
がある;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%8C%E3%81%82%E3%82%8B;;;;;;;;;;;;;;
がいる;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%8C%E3%81%84%E3%82%8B;;;;;;;;;;;;;;
この;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%93%E3%81%AE;;;;;;;;;;;;;;
その;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%9D%E3%81%AE;;;;;;;;;;;;;;
あの;;N5;2;;https://bunpro.jp/grammar_points//grammar_points/%E3%81%82%E3%81%AE;;;;;;;;;;;;;;
